clave,pregunta,modelo,rank,documento,pagina,chunk_index,semantic_similarity,texto
decreto31_cambios,¿Qué cambios introduce el Decreto 31/2024?,mistral:7b,1,Decreto 31/2024,4,3,0.6111403703689575,"III Con esta modificación, por otro lado, se incorporan nuevos requisitos respecto a los previstos en el Decreto 28/2016, de 2 de febrero, para el ejercicio de una actividad económica, como es la prestación del servicio turístico de alojamiento en viviendas, que en todo caso deben ser acordes con la normativa europea y nacional que regula los principios de libre acceso al mercado; y, en coherencia con lo establecido en la Ley 13/2011, de 23 de diciembre, se refuerza, al igual que ocurre en otros modelos de alojamiento, la figura legal de las empresas explotadoras de viviendas de uso turístico con el objetivo de profesionalizar la actividad, facilitar las relaciones con la Administración turística y garantizar los derechos y deberes de las personas usuarias."
decreto31_cambios,¿Qué cambios introduce el Decreto 31/2024?,mistral:7b,2,Decreto 31/2024,27,3,0.5757317543029785,"Artículo 3 Modificación del Decreto-ley 13/2020, de 18 de mayo, por el que se establecen medidas extraordinarias y urgentes relativas a establecimientos hoteleros, coordinación de alertas, impulso de la telematización, reactivación del sector cultural y flexibilización en diversos ámbitos ante la situación generada por el coronavirus (COVID-19), de conformidad con lo previsto en su disposición final decimoséptima Dicho decreto-ley queda modificado en los siguientes términos: Normativa Consolidada 27

[Continuación inmediata, página 28]
1. Pertenecen a este grupo aquellos establecimientos destinados a la prestación del servicio de alojamiento turístico que, además de los requisitos de dimensiones mínimas de infraestructura definidos en el Anexo I, cumplen con los servicios mínimos y puntuación mínima requerida para su categoría en el Anexo II."
decreto31_cambios,¿Qué cambios introduce el Decreto 31/2024?,mistral:7b,3,Decreto 31/2024,6,2,0.6072825193405151,"Artículo 1 Modificación del Decreto 28/2016, de 2 de febrero, de las viviendas con fines turísticos y de modificación del Decreto 194/2010, de 20 de abril, de establecimientos de apartamentos turísticos El Decreto 28/2016, de 2 de febrero, de las viviendas con fines turísticos y de modificación del Decreto 194/2010, de 20 de abril, de establecimientos de apartamentos turísticos, queda modificado en los siguientes términos: Uno. El título de la disposición queda redactado del siguiente modo: Decreto 28/2016, de 2 de febrero, por el que se regulan las viviendas de uso turístico.» Dos. El artículo 1 queda redactado del siguiente modo: «Artículo 1 Objeto y ámbito de aplicación

[Continuación inmediata, página 6]
1. El presente decreto tiene por objeto la ordenación de las viviendas de uso turístico como un servicio de alojamiento turístico, de conformidad con lo dispuesto en el apartado 1.a) del artículo 28 de la Ley 13/2011, de 23 de diciembre, del Turismo de Andalucía."
decreto31_cambios,¿Qué cambios introduce el Decreto 31/2024?,mistral:7b,4,Decreto 31/2024,5,4,0.6172012090682983,"En la elaboración del presente decreto, se ha respetado lo dispuesto en el artículo 7.2 del Decreto 622/2019, de 27 de diciembre, de administración electrónica, simplificación de procedimientos y racionalización organizativa de la Junta de Andalucía, así como los principios de buena regulación previstos en el artículo 129 de la Ley 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas, a los que se ha de ajustar la potestad reglamentaria. De lo expuesto en los párrafos anteriores se pone de manifiesto el cumplimiento de los principios de necesidad y eficacia, siendo las razones de interés general que sustentan la necesidad de esta regulación la protección de las personas usuarias de servicios turísticos, la protección del medio ambiente y el entorno urbano, la protección de los derechos de Normativa Consolidada 5"
instruccion1_2024,¿Qué establece la Instrucción 1/2024 sobre las viviendas de uso turístico?,mistral:7b,1,Instrucción 1/2024,4,3,0.7974973320960999,"1. El alojamiento en viviendas de uso turístico será considerado como un servicio turístico y deberá cumplir con las prescripciones de la Ley 13/2011, de 23 de diciembre y con lo establecido en el presente Decreto. • En la antigua redacción se denominaban “viviendas con fines turísticos”."
instruccion1_2024,¿Qué establece la Instrucción 1/2024 sobre las viviendas de uso turístico?,mistral:7b,2,Instrucción 1/2024,2,2,0.7967934608459473,"5. Con estos antecedentes, con fecha 7 de junio de 2024, el Coordinador General de Urbanismo y Vivienda, con el visto bueno de la Vicepresidenta del Consejo Rector de la GMU, ha elaborado Instrucción del siguiente tenor literal: Instrucción 1/2024 sobre aplicación de la normativa urbanística a las viviendas de uso turístico El fenómeno (aparentemente imparable) de la vivienda de uso turístico es relativamente reciente pero su crecimiento ha sido de tal magnitud que ha desbordado cualquier previsión previa y está saturando la capacidad de acogida de visitantes en nuestras ciudades sustrayendo unidades de vivienda del uso residencial y tensionando el mercado de la vivienda hasta límites antes desconocidos. La Comunidad Autónoma de Andalucía tiene atribuida la competencia exclusiva en materia de turismo. En ejercicio de esa competencia, se dictó la Ley 13/2011, de 23 de diciembre, del Turismo de Andalucía y, posteriormente ya en 2016, el Decreto 28/2016, de 2 de febrero, con objeto de regular la utilización turística de la vivienda."
instruccion1_2024,¿Qué establece la Instrucción 1/2024 sobre las viviendas de uso turístico?,mistral:7b,3,Instrucción 1/2024,7,2,0.7930293679237366,"6) La aplicación de la normativa urbanística del vigente PGOU 2011 sobre el uso de hospedaje a las viviendas de uso turístico, es una consecuencia directa de las modificaciones introducidas por la administración autonómica en el Decreto 28/2016, que exige que dichas viviendas “resulten compatible de conformidad con la planificación u ordenación urbanística aplicable para el uso como vivienda de uso turístico”. Ciertamente, la aplicación de este precepto del Plan General 2011, va a suponer para muchas viviendas la imposibilidad de ser utilizadas como vivienda de uso turístico, lo que conlleva una limitación al ejercicio de la actividad económica que, tal y como exige la Directiva 2006/123/CE del Parlamento Europeo y del Consejo, de 12 de diciembre de 2006, relativa a los servicios en el mercado interior y la Ley 17/2009, de 23 de noviembre, sobre el libre acceso a las actividades de servicios y su ejercicio , debe descansar en razones imperiosas de interés general."
instruccion1_2024,¿Qué establece la Instrucción 1/2024 sobre las viviendas de uso turístico?,mistral:7b,4,Instrucción 1/2024,5,1,0.7510185837745667,"1. Se entiende por viviendas de uso turístico aquellas viviendas equipadas en condiciones de uso inmediato, ubicadas en inmuebles donde se vaya a ofrecer mediante precio el servicio de alojamiento en el ámbito de la Comunidad Autónoma de Andalucía, de forma habitual y con fines turísticos. • En la antigua definición se hacía una mención expresa al “uso residencial” que ahora se sustituye por inmuebles donde se vaya a ofrecer el servicio de alojamiento “Artículo 6. Requisitos y servicios comunes."
umbral_8_por_ciento,¿Qué ocurre cuando un barrio alcanza o supera el 8% de viviendas de uso turístico?,mistral:7b,1,Acuerdo Pleno aprobación definitiva,11,2,0.775517463684082,"Los estudios realizados y el análisis comparado de indicadores, arrojaron las siguientes conclusiones: − Las viviendas de uso turístico (VUT) suponen casi el 75% de las plazas de alojamiento turístico ofertadas y se concentran en cuatro distritos de la ciudad siendo los barrios del distrito centro los que acumulan un 65% de las mismas. − Entre los años 2016 y 2024 las VUT se han incrementado sobre todo en aquellos ámbitos analizados que presentan mayor presión turística residencial. − Las viviendas de uso turístico tienen una rentabilidad económica sensiblemente superior que el alquiler convencional. − Los barrios con mayor presión turística resi dencial pierden mayor número de personas y hogares o crecen en menor número de estos. − Los precios de alquiler son más altos en los barrios que soportan una mayor presencia de VUT. − En los ámbitos más tensionados se han superado los niveles de VUT existentes en el periodo previo a la pandemia del Covid-19. − La reducción del parque de viviendas vacías hace que las viviendas de uso turístico se implanten en el parque de viviendas principales. − Incidencia en el acceso a la vivienda de los vecinos de las áreas estadísticas que soportan un mayor número de viviendas de uso turístico."
umbral_8_por_ciento,¿Qué ocurre cuando un barrio alcanza o supera el 8% de viviendas de uso turístico?,mistral:7b,2,Acuerdo Pleno aprobación definitiva,14,0,0.7385845184326172,"CONFORME CON SUS ANTECEDENTES El Jefe de Sección del Pleno y Comisiones del Pleno Carlos López Jiménez Sesión Ord. Pleno de 29/05/2025 Acuerdo Punto nº 17 a) Zona 1 / Zona de decrecimiento: se obtiene a p artir de la agregación de barrios caracterizados por una tasa de inscripción de VUT REG en el RTA superior al 8% del total de viviendas familiares VF disponibles en cada uno de ellos, esto es, una presión turística residencial registrada PTRR superior al 8%. En los barrios de esta zona no se permitirán más inscripciones de VUT en tanto la tasa de inscripción o PTRR no decaiga de dicho porcentaje. b) Zona 2 / Zona de crecimiento acotado: zona obtenida por la agregación de barrios caracterizados por una tasa de inscripción de VUT REG en el RTA igual o superior al 4,53% (media municipal) y no superior al 8% del total VF disponibles, esto es, una presión turística residencial registrada 4,53% ≤ PTRR ≤ 8%."
